index,CHECK,reference,title,year,citation,study_type,common_name,order,family,genus,species,subspecies,lifestage,count_target_average,count_target_min,count_target_max,count_flock_average,count_flock_min,count_flock_max,latitude_avg,longitude_avg,location_1,latitude_1,longitude_1,location_2,latitude_2,longitude_2,location_3,latitude_3,longitude_3,location_4,latitude_4,longitude_4,location_5,latitude_5,longitude_5,date_1,date_2,date_3,date_4,date_5,date_6,temperature_min_study,temperature_max_study,temperature_binary_study,wind_speed_min_study,wind_speed_max_study,wind_speed_binary_study,wind_direction_d,relative_wind_direction_ms,wind_direction_binary,drone,drone_type,drone_shape,drone_size_mm,drone_noise_db,db_distance_m,drone_noise_dba,dba_distance_m,drone_colour,approach_type,altitude_max,altitude_min,distance_max,distance_min,min_approach_speed_m_s,max_approach_speed_m_s,approach_speed_b,approaches_study,approaches_species_drone_lifestage_approachtype,approach_description,response_measure_1,response_measure_2,response_measure_description,result_description,minimum_successful_approach_m,maximum_unsuccessful_approach_m,html
121,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,australian pelican,Pelecaniformes,Pelecanidae,Pelecanus,conspicillatus,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=16m (n=2). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=16m (n=2).,,"<tr><td>australian pelican</td><td><em>Pelecanus conspicillatus</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=16m (n=2). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
122,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,great cormorant,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=14m (n=2). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=14m (n=2).,,"<tr><td>great cormorant</td><td><em>Phalacrocorax carbo</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=14m (n=2). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
123,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,australian pied cormorant,Suliformes,Phalacrocoracidae,Phalacrocorax,varius,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=2m (n=4). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=2m (n=4).,,"<tr><td>australian pied cormorant</td><td><em>Phalacrocorax varius</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=2m (n=4). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
124,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,common bronzewing,Columbiformes,Columbidae,Phaps,chalcoptera,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=18m (n=3). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=18m (n=3).,,"<tr><td>common bronzewing</td><td><em>Phaps chalcoptera</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=18m (n=3). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
125,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,crimson rosella,Psittaciformes,Psittaculidae,Platycercus,elegans,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=23m (n=2). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=23m (n=2).,,"<tr><td>crimson rosella</td><td><em>Platycercus elegans</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=23m (n=2). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
126,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,eastern rosella,Psittaciformes,Psittaculidae,Platycercus,eximius,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=26m (n=11). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=26m (n=11).,,"<tr><td>eastern rosella</td><td><em>Platycercus eximius</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=26m (n=11). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
127,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,western swamphen,Gruiformes,Rallidae,Porphyrio,porphyrio,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=39m (n=17). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=39m (n=17).,,"<tr><td>western swamphen</td><td><em>Porphyrio porphyrio</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=39m (n=17). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
128,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,red-necked avocet,Charadriiformes,Recurvirostridae,Recurvirostra,novaehollandiae,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=7m (n=1). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=7m (n=1).,,"<tr><td>red-necked avocet</td><td><em>Recurvirostra novaehollandiae</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=7m (n=1). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
129,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,willie wagtail,Passeriformes,Rhipiduridae,Rhipidura,leucophrys,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=36m (n=17). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=36m (n=17).,,"<tr><td>willie wagtail</td><td><em>Rhipidura leucophrys</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=36m (n=17). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
130,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,spotted dove,Columbiformes,Columbidae,Spilopelia,chinensis,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=17m (n=20). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=17m (n=20).,,"<tr><td>spotted dove</td><td><em>Spilopelia chinensis</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=17m (n=20). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
131,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,common starling,Passeriformes,Sturnidae,Sturnus,vulgaris,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=47m (n=24). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=47m (n=24).,,"<tr><td>common starling</td><td><em>Sturnus vulgaris</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=47m (n=24). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
132,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,australian white ibis,Pelecaniformes,Threskiornithidae,Threskiornis,molucca,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=39m (n=17). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=39m (n=17).,,"<tr><td>australian white ibis</td><td><em>Threskiornis molucca</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=39m (n=17). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
133,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,straw-necked ibis,Pelecaniformes,Threskiornithidae,Threskiornis,spinicollis,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=54m (n=17). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=54m (n=17).,,"<tr><td>straw-necked ibis</td><td><em>Threskiornis spinicollis</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=54m (n=17). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
134,,"Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.",Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance.,2020,"Weston, M. A., et al. (2020)",,masked lapwing,Charadriiformes,Charadriidae,Vanellus,miles,-,-,,,,,,,-37.8,144.9,,,,,,,,-37.8,144.9,,,,,,,,,,,,,,,,,,,,,,dji phantom 3,,quadcopter,350,-,,,,white,,,,,,,,,,,"Launch between 40m and 155m, then overflight at 10m or 4m",Flight Initiation Distance,,,FID=34m (n=25). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.,FID=34m (n=25).,,"<tr><td>masked lapwing</td><td><em>Vanellus miles</em></td><td>-</td><td>dji phantom 3</td><td>Launch between 40m and 155m, then overflight at 10m or 4m</td><td>Flight Initiation Distance</td><td>FID=34m (n=25). Escape response more likely than aggression. Birds were 14.6% more likely to flee if the drone was at 4m rather than 10m. Fleeing occurred 88.4% of the time at 4m and 77.1% at 10m. Starting distance positively correlated with FID. Altitude did not affect FID. Longer starting distances made birds less likely to flee during both launch and approach. Drone launch caused fleeing 20% of the time. <5% probability of fleeing when >100m.</td><td>Weston, M. A., et al. (2020) <span class=endnote>Weston, M. A., et al. (2020). ""Escape responses of terrestrial and aquatic birds to drones: Towards a code of practice to minimize disturbance."" Journal of applied ecology 57(4): 777-785.</span></td></tr>"
135,,"Valle, R. G. and F. Scarton (2020). ""Feasibility of counting breeding Pied Avocets and Black-winged Stilts using drones.""",Feasibility of counting breeding Pied Avocets and Black-winged Stilts using drones.,2020,"Valle, R. G. and F. Scarton (2020)",,black-winged stilt,Charadriiformes,Recurvirostridae,Himantopus,himantopus,-,adult breeding,,,,,,,45.438333,12.335,,,,,,,,45.438333,12.335,,,,,,,,,,,,,,,,,,,,,,dji mavic pro,,quadcopter,335,-,,,,grey,,,,,,,,,,,"Launch at least 150m away, approached the flock at 70m altitude then lowered using lawn mower pattern to 30m. Finally lowered to 10-20m using the lawn mower flight pattern, then approached the flock either directly, or in lawnmower pattern.",Flight Initiation Distance,,,FID=60+-34m (n=38). No difference between lawn mower or direct approach. Increased with colony size. Presence of Oystercatcher significantly increase FID.,FID=63m (n=38),,"<tr><td>black-winged stilt</td><td><em>Himantopus himantopus</em></td><td>adult breeding</td><td>dji mavic pro</td><td>Launch at least 150m away, approached the flock at 70m altitude then lowered using lawn mower pattern to 30m. Finally lowered to 10-20m using the lawn mower flight pattern, then approached the flock either directly, or in lawnmower pattern.</td><td>Flight Initiation Distance</td><td>FID=60+-34m (n=38). No difference between lawn mower or direct approach. Increased with colony size. Presence of Oystercatcher significantly increase FID.</td><td>Valle, R. G. and F. Scarton (2020) <span class=endnote>Valle, R. G. and F. Scarton (2020). ""Feasibility of counting breeding Pied Avocets and Black-winged Stilts using drones.""</span></td></tr>"
